Date,Open,High,Low,Close,Volume,bitcoin,blockchain,bitcoinrise,buy bitcoin,sell bitcoin
2014-10-20,389.231,390.084,378.252,382.845,16419000,1.74,1.5,11.18,0.42,0
2014-10-21,382.421,392.646,380.834,386.475,14188900,2.04,2.37,11.18,1.47,1.34
2014-10-22,386.118,388.576,382.249,383.158,11641300,1.71,2.04,7.31,1.29,0
2014-10-23,382.962,385.048,356.447,358.417,26456900,1.8,1.11,3.87,0.42,0
2014-10-24,358.591,364.345,353.305,358.345,15585700,1.98,2.37,7.74,1.59,0
2014-10-25,358.611,359.861,342.877,347.271,18127500,1.68,1.8,0,1.53,0.82
2014-10-26,347.487,359.221,343.931,354.704,11272500,1.5,2.58,12.9,0.51,0.78
2014-10-27,354.777,358.632,349.809,352.989,13033000,1.53,2.73,0,0.84,0.66
2014-10-28,353.215,359.984,352.679,357.618,7845880,1.74,2.22,3.87,1.05,0
2014-10-29,357.089,357.833,335.343,335.591,18192700,1.8,2.01,3.87,1.05,2
2014-10-30,335.709,350.913,335.072,345.305,30177900,1.95,1.5,7.31,1.5,0
2014-10-31,345.009,348.045,337.142,338.321,12545400,1.71,2.19,0,0.9,0
2014-11-01,338.65,340.529,321.055,325.749,16677200,1.92,1.32,12.98,1.5,0
2014-11-02,326.075,329.05,320.626,325.892,8603620,2.07,1.42,0,0.82,1.2
2014-11-03,325.569,334.002,325.481,327.554,12948500,2.16,1.62,0,1.74,2.01
2014-11-04,327.161,331.767,325.077,330.492,15655500,2.43,1.46,10.56,0.86,1.02
2014-11-05,330.683,343.369,330.683,339.486,19817200,1.98,1.6,0,0.86,0
2014-11-06,339.458,352.966,338.424,349.29,18797000,2.19,1.62,21.34,1.22,0
2014-11-07,349.818,352.732,341.776,342.415,16834200,2.43,0.84,0,1.1,0
2014-11-08,342.154,347.032,342.154,345.488,8535470,1.98,0.32,12.54,1.04,0
2014-11-09,345.376,363.626,344.255,363.264,24205600,2.13,1.1,0,0.4,1.17
2014-11-10,362.265,374.816,357.561,366.924,30450100,2.7,0.94,21.12,0.52,0
2014-11-11,365.857,371.31,363.735,367.695,15838900,2.37,0.94,21.12,0.86,1.02
2014-11-12,367.985,429.718,367.985,423.561,45783200,2.34,1.32,10.34,1.38,2.01
2014-11-13,427.273,457.093,401.123,420.735,58945000,3,2,10.56,1.04,2.01
2014-11-14,418.417,419.252,384.789,397.818,29589200,2.46,1.38,10.78,0.54,2.1
2014-11-15,399.65,405.528,371.008,376.133,15727500,2.37,1.56,12.32,0.62,1.2
2014-11-16,374.73,390.799,374.602,387.882,11905600,2.04,0.92,0,1.38,1.14
2014-11-17,388.349,410.199,377.502,387.408,41518800,2.46,1.04,10.34,0.86,3
2014-11-18,387.785,392.402,371.117,375.198,32222500,2.43,1.74,0,1.1,0
2014-11-19,373.896,386.481,373.896,380.555,18931800,2.07,1.38,11,1.24,2.07
2014-11-20,380.307,382.025,356.781,357.84,25233200,2.37,0.94,0,0.18,0
2014-11-21,357.879,357.879,344.112,350.848,29850100,2.16,0.84,22,0.9,0
2014-11-22,351.604,364.841,350.878,352.92,15273000,1.89,1.1,0,0.6,0
2014-11-23,353.175,370.845,353.175,367.573,15151600,1.92,1.38,0,2,1.17
2014-11-24,366.948,387.209,366.669,376.901,30930100,2.22,1.84,0,0.84,0
2014-11-25,376.886,394.701,374.784,375.348,25442200,2.13,1.7,10.34,0.68,0.99
2014-11-26,376.019,377.698,365.816,368.37,18601700,1.89,1.48,10.56,0.86,3
2014-11-27,370.502,373.992,368.282,369.67,8748030,2.04,1.66,11,0.9,0
2014-11-28,369.374,382.838,358.455,376.447,22946500,1.98,0.84,0,1.46,1.05
2014-11-29,376.152,387.601,372.145,375.491,15375600,1.77,1.58,0,1.02,0
2014-11-30,375.51,382.527,373.309,378.047,9194440,2.01,1.06,0,0.58,0
2014-12-01,378.249,383.662,376.669,379.245,11763000,1.14,2.76,0,1.65,0
2014-12-02,379.25,384.038,377.863,381.315,12364100,1.41,2.01,0,1.89,3
2014-12-03,381.722,383.026,374.346,375.01,13340100,1.29,1.68,2.87,1.44,0
2014-12-04,375.718,378.655,367.759,369.604,14529600,1.29,1.89,0,2.19,0
2014-12-05,369.442,379.192,365.756,376.854,15181800,1.17,1.17,0,2.04,0
2014-12-06,376.757,378.448,370.945,374.785,7009320,1.26,1.77,0,0.87,2.46
2014-12-07,374.836,376.292,373.275,375.095,6491650,1.11,2.19,0,1.41,0
2014-12-08,374.965,376.029,361.886,361.909,18898700,1.32,2.31,0,1.23,1.05
2014-12-09,361.895,363.067,344.951,352.219,32915500,1.11,3,0,0.96,0
2014-12-10,352.205,352.384,346.365,346.365,16427700,1.23,1.5,5.81,0.72,0
2014-12-11,344.34,361.357,338.763,350.506,32431300,1.77,1.71,2.94,1.23,1.05
2014-12-12,350.833,352.983,349.291,352.542,16989800,1.86,1.98,0,2.28,2.16
2014-12-13,352.381,352.381,346.588,347.376,11675900,1.35,2.49,3.5,0.6,1.26
2014-12-14,346.727,353.316,345.418,351.632,12415200,1.44,0.66,3.43,1.74,1.23
2014-12-15,351.361,351.815,344.934,345.345,17264200,1.32,2.85,2.94,0.99,2.1
2014-12-16,345.673,345.859,327.062,327.062,30864900,1.41,0.93,0,1.71,2.1
2014-12-17,326.855,333.954,315.152,319.776,37567900,1.38,1.92,3.01,1.5,0
2014-12-18,319.785,323.709,304.232,311.396,39173000,1.44,1.77,0,1.53,1.08
2014-12-19,311.179,318.533,306.769,317.843,23823100,1.29,1.02,0,2.13,1.14
2014-12-20,317.619,330.325,316.044,329.956,20856700,1.35,2.34,0,1.2,1.29
2014-12-21,329.543,329.629,318.903,320.843,15207600,1.53,1.86,0,0.6,0
2014-12-22,321.068,334.117,320.425,331.886,22315100,1.38,2.4,0,1.83,0
2014-12-23,332.017,336.287,329.602,334.572,16574200,1.32,1.65,0,1.35,1.14
2014-12-24,334.385,334.741,321.357,322.534,15092300,1.23,1.62,0,3,1.29
2014-12-25,322.286,322.67,316.958,319.008,9883640,1.47,2.28,0,0.66,1.41
2014-12-26,319.152,331.424,316.627,327.924,16410500,1.62,1.56,0,0.57,1.23
2014-12-27,327.583,328.911,312.63,315.863,15185200,3,2.49,7,2.94,1.26
2014-12-28,316.16,320.028,311.078,317.239,11676600,1.2,1.11,3.5,2.64,1.23
2014-12-29,317.701,320.267,312.307,312.67,12302500,1.2,2.01,0,1.56,1.11
2014-12-30,312.719,314.809,309.373,310.737,12528300,1.14,2.04,0,2.4,0
2014-12-31,310.914,320.193,310.211,320.193,13942900,1.35,0.45,0,1.17,1.26
2015-01-01,320.435,320.435,314.003,314.249,8036550,1.53,1.2,3.36,1.83,0.54
2015-01-02,314.079,315.839,313.565,315.032,7860650,1.74,1.2,2.88,2.37,0
2015-01-03,314.846,315.15,281.082,281.082,33054400,1.92,1.47,6,1.92,0
2015-01-04,281.146,287.23,257.612,264.195,55629100,2.19,2.16,3,0.54,0.48
2015-01-05,265.084,278.341,265.084,274.474,43962800,1.83,1.86,0,0.48,0
2015-01-06,274.611,287.553,272.696,286.189,23245700,2.37,2.16,0,1.41,0.42
2015-01-07,286.077,298.754,283.079,294.337,24866800,1.92,1.08,0,1.14,0.42
2015-01-08,294.135,294.135,282.175,283.349,19982500,1.74,1.23,0,1.17,0
2015-01-09,282.383,291.114,280.533,290.408,18718600,1.98,2.19,2.58,1.44,0
2015-01-10,287.303,288.127,273.966,274.796,15264300,1.59,2.31,0,1.35,0.48
2015-01-11,274.608,279.638,265.039,265.66,18200800,1.65,1.41,0,0.81,0.48
2015-01-12,266.146,272.203,265.2,267.796,18880300,1.68,1.8,2.46,1.83,0.42
2015-01-13,267.394,268.277,219.906,225.861,72843904,2.1,1.65,2.46,1.83,0.4
2015-01-14,223.894,223.894,171.51,178.103,97638704,3,2.1,0,3,0.82
2015-01-15,176.897,229.067,176.897,209.844,81773504,2.67,2.28,0,1.38,0
2015-01-16,209.07,221.591,199.771,208.097,38421000,2.19,1.41,0,1.65,0
2015-01-17,207.834,211.731,194.875,199.26,23469700,1.95,2.13,0,2.16,0.48
2015-01-18,200.05,218.695,194.506,210.339,30085100,1.68,1.56,0,1.59,0
2015-01-19,211.471,216.728,207.318,214.861,18658300,1.62,1.8,2.46,0.69,0.4
2015-01-20,212.907,215.241,205.153,211.315,24051100,1.8,2.25,0,0.9,0.4
2015-01-21,211.378,227.788,211.212,226.897,29924600,1.74,3,0,0.9,0.4
2015-01-22,227.322,237.019,226.434,233.406,33544600,1.86,1.05,0,1.17,0.82
2015-01-23,233.517,234.845,225.196,232.879,24621700,1.74,2.94,2.58,1.89,0
2015-01-24,232.7,248.21,230.022,247.847,24782500,1.62,1.74,0,2.13,0
2015-01-25,247.352,255.074,243.89,253.718,33582700,1.71,1.23,2.88,1.59,0.48
2015-01-26,254.079,309.384,254.079,273.473,106794000,2.46,2.34,0,1.56,0
2015-01-27,273.167,275.48,250.653,263.475,44399000,1.92,1.77,0,2.22,2
2015-01-28,263.351,266.535,227.046,233.915,44352200,2.01,1.05,0,1.35,0
2015-01-29,233.348,238.706,220.712,233.513,32213400,1.83,1.2,0,0.45,0
2015-01-30,232.772,242.851,225.839,226.425,26605200,1.77,2.01,0,2.58,0
2015-01-31,226.441,233.504,216.309,217.464,23348200,1.53,1.59,5.76,0.81,0.48
2015-02-01,216.867,231.574,212.015,226.972,29128500,2.13,1.86,4,1.11,0
2015-02-02,226.491,242.175,222.659,238.229,30612100,1.62,2.61,0,0.78,1.64
2015-02-03,237.454,245.957,224.483,227.268,40783700,1.95,2.01,0,1.32,0.82
2015-02-04,227.511,230.058,221.113,226.853,26594300,2.04,2.61,0,0.78,0
2015-02-05,227.665,239.405,214.725,217.111,22516400,1.89,1.02,0,0.78,0.82
2015-02-06,216.923,230.51,216.232,222.266,24435300,2.28,1.08,0,1.41,0.88
2015-02-07,222.633,230.299,222.607,227.754,21604200,2.43,2.85,0,0.9,0
2015-02-08,227.693,229.438,221.077,223.412,17145200,2.58,1.65,0,1.8,0.96
2015-02-09,223.389,223.977,217.019,220.11,27791300,2.16,2.79,0,1.53,1.64
2015-02-10,220.282,221.807,215.332,219.839,21115100,2.01,3,3.44,0.57,0.82
2015-02-11,219.732,223.406,218.074,219.185,17201900,1.98,2.61,0,1.17,0.82
2015-02-12,219.208,222.199,217.614,221.764,15206200,1.98,1.02,3.52,1.56,0
2015-02-13,221.969,240.259,221.262,235.427,42744400,1.92,2.55,3.68,1.2,0
2015-02-14,235.528,259.808,235.528,257.321,49732500,1.86,2.67,0,1.41,2
2015-02-15,257.507,265.611,227.684,234.825,56552400,1.98,1.44,0,1.83,0
2015-02-16,234.825,239.521,229.022,233.843,28153700,2.22,1.89,3.6,1.41,0
2015-02-17,233.422,245.775,232.314,243.61,27363100,2.25,2.49,3.56,3,1.72
2015-02-18,243.78,244.251,232.34,236.326,25200800,2.13,1.65,3.56,1.17,0.84
2015-02-19,236.41,242.672,235.592,240.283,18270500,2.07,2.88,0,0.99,1.68
2015-02-20,240.251,247.101,239.299,243.779,23876700,3,2.13,0,2.85,0
2015-02-21,243.752,255.32,243.184,244.534,12284200,2.04,2.37,0,1.59,1.96
2015-02-22,244.544,246.392,233.851,235.977,19527000,1.92,1.17,0,2.04,0.98
2015-02-23,235.995,240.109,232.421,238.892,16400000,1.92,2.97,0,1.71,0
2015-02-24,238.998,239.901,236.402,238.735,14200400,1.92,1.98,0,0.18,0
2015-02-25,238.89,239.34,235.53,237.47,11496200,1.86,3,0,1.14,0
2015-02-26,237.337,237.71,234.257,236.426,13619400,1.71,2.22,0,1.74,0
2015-02-27,236.436,256.653,236.436,253.828,44013900,1.89,2.28,0,0.99,0
2015-02-28,253.52,254.692,249.479,254.263,13949300,2.07,2.58,0,1.11,0.96
2015-03-01,254.283,261.66,245.933,260.202,25213700,2.25,2.37,0,1.14,0.76
2015-03-02,260.357,276.301,258.313,275.67,40465700,2.07,2.49,0,0.98,1.98
2015-03-03,275.046,285.796,268.161,281.702,50461300,2.28,1.26,3,0.98,1.3
2015-03-04,281.99,284.225,268.126,273.092,41383000,2.25,2.07,1.53,1,2
2015-03-05,272.739,281.667,264.769,276.178,41302400,2.25,1.11,1.56,1.42,0.68
2015-03-06,275.6,277.608,270.015,272.723,28918900,3,1.83,0,1.88,0
2015-03-07,272.294,277.854,270.133,276.261,17825900,2.7,0.75,0,1.42,1.58
2015-03-08,276.433,277.858,272.565,274.354,22067900,2.13,0.75,0,1.16,0
2015-03-09,274.812,292.701,273.893,289.607,59178200,2.55,2.67,0,1.78,0.66
2015-03-10,289.862,300.044,289.743,291.76,67770800,2.55,2.34,0,0.98,0
2015-03-11,291.525,297.391,290.508,296.379,33963900,2.31,1.89,0,1.78,0.66
2015-03-12,296.127,297.088,292.413,294.354,32585200,2.16,1.29,0,1.2,0
2015-03-13,294.118,294.498,285.337,285.337,31421500,2.28,1.47,0,1.24,0
2015-03-14,284.442,286.342,280.976,281.885,22612300,2.04,1.29,1.77,1.64,0
2015-03-15,281.425,286.529,280.996,286.393,11970100,2.1,1.11,0,0.68,0
2015-03-16,285.685,294.112,285.685,290.593,21516100,2.13,1.89,0,1.58,0
2015-03-17,290.595,292.365,284.374,285.505,21497200,2.16,2.37,0,0.4,0.66
2015-03-18,285.067,285.336,249.87,256.299,57008000,2.46,3,0,1.8,0.66
2015-03-19,255.88,264.244,248.636,260.928,52732000,2.31,0.63,0,0.98,0
2015-03-20,260.956,264.848,259.162,261.749,18456700,2.37,1.8,0,1.02,0
2015-03-21,261.644,262.196,255.65,260.025,17130100,2.13,1.29,0,1.64,0.78
2015-03-22,259.917,269.747,259.59,267.96,18438100,1.89,1.83,0,1.14,0.76
2015-03-23,267.895,277.297,261.745,266.74,22811900,2.01,2.34,1.5,0.58,0.66
2015-03-24,266.577,267.003,244.155,245.595,40073700,2.22,1.23,0,0.8,0
2015-03-25,247.472,249.19,236.515,246.197,35866900,2.31,2.79,0,1.18,0.98
2015-03-26,246.276,254.354,244.905,248.532,25730000,1.8,2.73,0,1.14,0.76
2015-03-27,248.566,256.811,245.213,247.029,17274900,2.04,1.65,0,1.46,0.7
2015-03-28,246.975,254.205,246.975,252.798,16040900,1.71,1.38,0,2,0.84
2015-03-29,252.74,253.139,240.85,242.713,21699400,1.86,1.71,1.83,0.98,0.82
2015-03-30,242.879,249.242,239.214,247.526,23009600,1.98,1.41,1.53,1.4,0
2015-03-31,247.454,248.73,242.739,244.224,22672000,2.37,2.07,0,1.4,0.66
2015-04-01,244.223,247.541,241.16,247.272,22877200,1.84,1.29,0,0.94,0.96
2015-04-02,247.089,254.461,245.416,253.005,26272600,1.88,2.52,0,0.98,1.02
2015-04-03,253.074,256.043,251.879,254.322,23146600,2,1.62,0,1.24,0
2015-04-04,254.291,255.258,251.1,253.697,12493500,1.7,1.32,0,0.88,0
2015-04-05,253.761,260.675,251.942,260.598,19649200,1.46,1.17,0,0.46,0
2015-04-06,260.721,261.798,254.575,255.492,20034200,1.68,1.5,2.65,1.56,2
2015-04-07,255.274,255.805,252.205,253.18,18467400,2,2.04,2.5,1.46,0.94
2015-04-08,253.064,253.847,244.215,245.022,30086400,1.8,2.85,2.5,2,0.94
2015-04-09,244.751,246.118,239.4,243.676,21643500,1.72,3,2.5,0.92,0
2015-04-10,243.694,243.694,232.771,236.072,28882000,1.58,2.67,2.65,1.36,1
2015-04-11,236.016,239.537,234.175,236.552,16365200,1.5,2.07,3,0.66,0
2015-04-12,236.535,237.728,233.495,236.153,12387900,1.62,1.68,0,1.3,0
